address,area,year,floors,entrance,flats,latitude,longitude
"пр-кт. Мира, д. 188 Б, к. 1, Москва",54804.10,2014,58,1,370,55.83447157,37.6580595
"пр-кт. Мира, д. 188Б, к. 3, Москва",53253.20,2015,58,1,356,55.83548757,37.658347
"пер. Чапаевский, д. 3, Москва",256740.60,2006,57,14,992,55.79848457,37.52068
"ул. Мосфильмовская, д. 8, Москва",137500.80,2011,53,2,564,55.72359207,37.5272555
"ул. Мосфильмовская, д. 70, Москва",341272.69,2006,50,7,1046,55.71517957,37.5066125
"ул. Авиационная, д. 79, к. 1, Москва",50864.40,2003,49,1,242,55.80650957,37.449866
"ул. Новодмитровская, д. 2, к. 7, Москва",51636.10,2018,49,2,419,55.80246207,37.5919345
"пр-кт. Ленинский, д. 111, к. 1, Москва",133432.40,2010,48,4,646,55.66133357,37.5093525
"пр-кт. Маршала Жукова, д. 78, Москва",83899.20,2011,48,1,345,55.78085107,37.4491565
"ул. Новодмитровская, д. 2, к. 5, Москва",44694.30,2018,47,1,431,55.80357507,37.591036
"ул. Новодмитровская, д. 2, к. 6, Москва",44326.20,2017,47,1,461,55.80300357,37.5915035
"ул. Михневская, д. 8, Москва",270273.30,2013,45,20,2570,55.57969357,37.671094
"ш. Хорошевское, д. 16, к. 1, Москва",25191.10,2008,44,1,224,55.77459807,37.5459495
"ш. Хорошевское, д. 16, к. 2, Москва",26809.30,2008,44,1,296,55.77424907,37.5465425
"ш. Ленинградское, д. 25, к. 2, Москва",37908.00,2012,42,1,327,55.82767157,37.487568
"ул. Дыбенко, д. 38, к. 1, Москва",25675.00,2010,40,1,240,55.87670307,37.4840645
"ул. Профсоюзная, д. 64, к. 2, Москва",54832.17,2012,40,1,444,55.66547657,37.5476745
"ш. Рублевское, д. 107, Москва",60900.20,2012,40,3,332,55.74430757,37.4195205
"ул. Саляма Адиля, д. 2, к. 1, Москва",45916.90,2011,40,2,204,55.77403107,37.4672215
"мкр. Чертаново Северное, д. 1А, Москва",277517.10,2009,39,1,1518,55.63739807,37.6003965
"ул. Минская, д. 2, Москва",106300.40,2017,39,2,459,55.71604207,37.5039985
"ул. Русаковская, д. 31, Москва",127348.80,2009,39,5,492,55.78857557,37.6786845
"ул. Маршала Катукова, д. 24, к. 1, Москва",26070.00,2011,38,1,210,55.80447557,37.414571
"пр-кт. Мира, д. 188 Б, к. 4, Москва",91407.90,2015,38,3,827,55.83442607,37.6596045
"пр-кт. Вернадского, д. 94, к. 4, Москва",36524.10,2010,37,1,246,55.65300457,37.47174
"ул. Исаковского, д. 39, к. 1, Москва",Не заполнено,2004,37,1,172,55.80681307,37.4234915
"ш. Ленинградское, д. 108, Москва",28902.30,2015,37,2,427,55.86069607,37.4676435
"наб. Шелепихинская, д. 34, к. 1, Москва",116067.60,2018,37,2,882,55.76132507,37.5125055
"ул. Авиационная, д. 79, Москва",108425.90,2001,35,1,504,55.80746107,37.4484645
"пр-кт. Вернадского, д. 94, к. 3, Москва",38607.50,2008,35,1,231,55.65290307,37.4730335
"ул. Крылатские Холмы, д. 33, к. 1, Москва",29547.00,2007,35,1,189,55.75679107,37.418362
"ул. Мосфильмовская, д. 55, Москва",54142.50,2014,35,1,211,55.70307857,37.495087
"ул. Первомайская, д. 42., Москва",177277.70,2011,35,4,1133,55.79226507,37.7871205
"ул. Сельскохозяйственная, д. 16, к. 1, Москва",20271.30,2008,35,1,184,55.83675157,37.6437675
"ул. Смольная, д. 49, Москва",63757.70,2015,35,4,496,55.86355057,37.4784595
"ул. Авиационная, д. 66, Москва",47949.00,2001,34,4,391,55.80968657,37.4600975
"ул. Авиационная, д. 77, Москва",56613.50,2008,34,1,284,55.80796107,37.4506475
"ул. Авиационная, д. 77, к. 1, Москва",29802.40,2010,34,1,66,55.80741007,37.4500725
"проезд. Кочновский, д. 4, к. 1, Москва",134964.00,2008,34,8,992,55.80668707,37.5429495
"проезд. Кочновский, д. 4, к. 2, Москва",142352.90,2008,34,10,1023,55.80653007,37.5459945
"ул. Крылатские Холмы, д. 37, Москва",42505.00,2007,34,3,268,55.76035257,37.419404
"проезд. Нагатинский 1-й, д. 11, к. 1, Москва",94498.00,2012,33,7,624,55.67870657,37.6346315
"проезд. Нагатинский 1-й, д. 11, к. 2, Москва",114258.00,2012,33,8,869,55.67753957,37.634398
"проезд. Нагатинский 1-й, д. 11, к. 3, Москва",82129.00,2012,33,13,625,55.67659007,37.6340925
"ул. Авиационная, д. 77, к. 2, Москва",100588.00,2016,33,4,571,55.80934757,37.450872
"пр-кт. Вернадского, д. 94, к. 2, Москва",36411.70,2006,33,1,220,55.65280107,37.4742015
"пр-кт. Вернадского, д. 105, к. 4, Москва",85173.00,2008,33,4,667,55.66367457,37.4867325
"ш. Ленинградское, д. 94, к. 2, Москва",28475.90,2019,33,1,295,55.85584557,37.471713
"пр-кт. Буденного, д. 51, к. 1, Москва",15844.80,2017,32,1,174,55.76045357,37.737767
"пр-кт. Буденного, д. 51, к. 3, Москва",19826.20,2017,32,1,261,55.76032207,37.7386835
"пр-кт. Буденного, д. 51, к. 4, Москва",17356.00,2017,32,1,217,55.75972407,37.7384585
"б-р. Генерала Карбышева, д. 13а, Москва",32197.40,2017,32,1,432,55.78117457,37.4688745
"ул. Донецкая, д. 30, к. 2, Москва",56211.70,2018,32,13,979,55.64622857,37.705841
"ул. Донецкая, д. 30, к. 1, Москва",56107.40,2019,32,6,894,55.64547657,37.7072155
"ул. Дубнинская, д. 40А, к. 1, Москва",29460.90,2006,32,1,240,55.88896707,37.5584275
"ул. Дубнинская, д. 40А, к. 2, Москва",15798.10,2006,32,1,240,55.88931557,37.5584185
"ул. Дубнинская, д. 40А, к. 3, Москва",15644.00,2006,32,2,240,55.88898257,37.559613
"ул. Дубнинская, д. 40А, к. 4, Москва",15764.10,2006,32,1,240,55.88932107,37.559604
"пр-кт. Ленинский, д. 103, Москва",75060.70,2014,32,4,379,55.66596957,37.514329
"пр-кт. Маршала Жукова, д. 43, к. 5, Москва",25262.20,2011,32,2,284,55.77382907,37.4720275
"проезд. Погонный, д. 3А, Москва",193529.70,2013,32,1,1334,55.81893307,37.7027055
"ул. Расплетина, д. 21, Москва",34646.00,2011,32,1,204,55.79829257,37.481864
"б-р. Ходынский, д. 5, к. 1, Москва",14168.40,2006,32,2,115,55.78477457,37.534577
"б-р. Ходынский, д. 5, к. 2, Москва",14114.00,2006,32,1,115,55.78433357,37.5342355
"б-р. Ходынский, д. 5, к. 3, Москва",14194.70,2006,32,2,115,55.78381757,37.5338765
"б-р. Ходынский, д. 5, к. 4, Москва",14187.60,2006,32,1,115,55.78335657,37.533544
"ш. Хорошевское, д. 12, к. 1, Москва",14355.00,2010,32,7,1947,55.77499307,37.5502435
"проезд. Береговой, д. 5, к. 1, Москва",54508.30,2015,31,1,511,55.75614307,37.506954
"пр-кт. Вернадского, д. 94, к. 1, Москва",25896.00,2006,31,1,199,55.65265907,37.4755125
"ул. Воронцовские Пруды, д. 3, Москва",93105.00,2004,31,2,294,55.66409557,37.5365265
"ул. Ивана Бабушкина, д. 10, Москва",Не заполнено,2008,31,1,143,55.68735507,37.562344
"ш. Ленинградское, д. 25, к. 3, Москва",15311.00,2012,31,1,141,55.82810607,37.4878915
"ул. Наметкина, д. 18, Москва",15153.40,2011,31,1,145,55.65957607,37.560071
"ул. Нежинская, д. 1, к. 1, Москва",29037.00,2008,31,1,157,55.71901357,37.4788095
"ул. Нежинская, д. 1, к. 2, Москва",28534.00,2008,31,1,165,55.71931807,37.478019
"ул. Нежинская, д. 1, к. 3, Москва",28118.00,2008,31,1,156,55.71883107,37.477624
"ул. Нежинская, д. 1, к. 4, Москва",26930.00,2008,31,1,157,55.71824807,37.4771835
"ул. Поляны, д. 5, Москва",109629.34,2018,31,6,1623,55.55776507,37.5550225
"ул. Ярцевская, д. 27, к. 1, Москва",52996.00,2009,31,3,284,55.74174357,37.4167
"ул. Машиностроения 1-я, д. 10, Москва",114250.00,2012,30,10,984,55.71404407,37.6701415
"проезд. Астрадамский, д. 4А, к. 1, Москва",25200.90,2005,30,1,192,55.81110307,37.5611135
"проезд. Астрадамский, д. 4А, к. 2, Москва",21404.50,2005,30,1,196,55.81130007,37.561787
"пр-кт. Вернадского, д. 37, к. 1А, Москва",23967.50,2004,30,2,160,55.67828057,37.5109065
"ул. Врубеля, д. 8, Москва",53246.30,2003,30,4,525,55.80564907,37.499318
"б-р. Генерала Карбышева, д. 15, Москва",27584.00,2016,30,3,290,55.78184357,37.4699345
"ш. Головинское, д. 7, Москва",13564.30,2018,30,1,280,55.83957207,37.4931915
"ш. Дмитровское, д. 13А, Москва",55757.30,2004,30,3,567,55.81871557,37.573501
"пр-кт. Ленинский, д. 92, к. 1, Москва",34351.60,2006,30,1,154,55.67082807,37.516889
"пр-кт. Ленинский, д. 98, к. 1, Москва",33640.00,2002,30,2,153,55.66989907,37.515371
"пр-кт. Ленинский, д. 106, к. 1, Москва",39773.10,2003,30,2,152,55.66885357,37.513826
"пр-кт. Ленинский, д. 128, к. 1, Москва",32232.10,2001,30,1,137,55.66667557,37.510511
"ул. Юшуньская М., д. 3, Москва",112203.10,2010,30,12,612,55.65462457,37.5914765
"ул. Ярцевская, д. 32, Москва",48727.70,2012,30,5,320,55.74128707,37.4176885
"пр-кт. Ленинский, д. 123, Москва",65495.70,2006,29,8,590,55.64663957,37.47969
"пр-кт. Ленинский, д. 131, Москва",79848.00,2006,29,10,711,55.64414507,37.4734915
"ул. Маршала Катукова, д. 24, к. 5, Москва",25791.70,2008,29,1,192,55.80304907,37.4131965
"ул. Маршала Катукова, д. 24, к. 6, Москва",25988.30,2008,29,1,191,55.80244157,37.4121365
"ул. Мироновская, д. 25, Москва",44328.70,2010,29,3,234,55.78769507,37.7325745
"ул. Архитектора Власова, д. 8, Москва",54101.80,2009,28,1,292,55.67812807,37.548537
"ш. Дмитровское, д. 13, Москва",56797.90,2017,28,5,406,55.81743057,37.572935
"б-р. Жулебинский, д. 33, к. 1, Москва",39699.00,2001,28,6,364,55.68595457,37.846077
"ул. Маршала Катукова, д. 24, к. 3, Москва",15967.60,2010,28,1,162,55.80445007,37.4132325
"ул. Маршала Катукова, д. 24, к. 4, Москва",16127.60,2010,28,1,162,55.80371657,37.4134125
"ш. Рублевское, д. 101, Москва",Не заполнено,2019,28,1,879,55.74351707,37.422099
"пер. Тепличный, д. 4, Москва",43755.00,2002,28,5,557,55.79009407,37.496129
"ул. Генерала Глаголева, д. 19, Москва",40495.90,2013,27,3,385,55.78461757,37.4627835
"наб. Карамышевская, д. 48, к. 3, Москва",17130.40,2006,27,2,280,55.77304407,37.4649485
"наб. Карамышевская, д. 56, к. 1, Москва",18351.10,2002,27,1,124,55.77442607,37.4618405
"ул. Маршала Конева, д. 14, Москва",30278.60,2010,27,1,96,55.79593457,37.485565
"ул. Маршала Соколовского, д. 5, Москва",59219.80,2007,27,5,235,55.79276607,37.4878645
"пр-кт. Мичуринский, д. 80, Москва",36072.00,2004,27,1,258,55.67319907,37.4549325
"пр-кт. Нахимовский, д. 56, Москва",76371.00,2007,27,2,380,55.68340657,37.555364
